Carril	Tiempo	Medicion	Conteo
C1	115	0.005	12
C1	115	0.003	12
C1	115	0.005	12
C2	115	0.005	4
C2	115	0.004	4
C2	115	0.005	4
C1	174	0.009	41
C1	174	0.013	41
C1	174	0.005	41
C2	174	0.007	29
C2	174	0.004	29
C2	174	0.007	29
C1	204	0.006	28
C1	204	0.003	28
C1	204	0.007	28
C2	204	0.005	42
C2	204	0.009	42
C2	204	0.005	42
C1	234	0.007	35
C1	234	0.006	35
C1	234	0.007	35
C2	234	0.004	28
C2	234	0.006	28
C2	234	0.007	28
C1	294	0.010	97
C1	294	0.005	97
C1	294	0.009	97
C2	294	0.013	49
C2	294	0.004	49
C2	294	0.006	49
