"Ch" "OD" "V"
1 0.232 0.60625
2 0.232 1.23
3 0.232 1.445375
4 0.232 1.204875
1 0.133 0.334714285714286
2 0.133 0.756428571428571
3 0.133 0.803285714285714
4 0.133 0.585714285714286
1 0.063 0.227625
2 0.063 0.601125
3 0.063 0.544
4 0.063 0.39925
1 0.027 0.17875
2 0.027 0.503
3 0.027 0.41575
4 0.027 0.327125
1 0.012 0.155444444444444
2 0.012 0.471111111111111
3 0.012 0.359888888888889
4 0.012 0.283222222222222
1 0.001 0.145222222222222
2 0.001 0.455555555555556
3 0.001 0.316
4 0.001 0.257555555555556
1 0 0.141714285714286
2 0 0.439714285714286
3 0 0.302285714285714
4 0 0.232571428571429
