"Azucar" "T"
"Gal" 115.249037647122
"Glu" 98.7996748622245
"Gal" 112.051938580446
"Glu" 105.109075016857
"Gal" 107.175089123305
"Glu" 106.49636868813
"Gal" 108.703627853263
"Glu" 104.560336775685
"Gal" 131.921996821436
"Glu" 104.279367066804
"Gal" 110.869377169537
"Glu" 103.546349840266
"Gal" 109.150664154263
"Glu" 105.049124391348
"Gal" 118.902856444563
"Glu" 106.710567859729
"Gal" 112.273847665787
"Glu" 102.632262436695
"Gal" 125.412903339539
"Glu" 108.584697705619
"Gal" 125.126919589644
"Glu" 114.444773586716
"Gal" 114.031799491474
"Glu" 113.971928593847
